model,roc_auc,pr_auc,brier,log_loss,threshold,accuracy,balanced_accuracy,precision,recall,f1,f2
target_history_sensitivity_ensemble,0.6891792776103193,0.26582932342800486,0.09230763098304945,0.3230794491623881,0.08249999999999999,0.4991962222445494,0.6169694222407566,0.1529295825120946,0.7685727149932463,0.25509975341851604,0.42577072732714755
strict_history_ensemble,0.6894721868019777,0.2606744534524253,0.09252831665032389,0.32351074953779413,0.08,0.4785994172611273,0.6124643235713485,0.14969082789419444,0.7847816298964431,0.25142445005409303,0.4245420888542479
focused_extra_ensemble,0.6776041326546394,0.242337251207581,0.09358419871759792,0.3271845834894433,0.08499999999999999,0.4849794031950166,0.6091651426096059,0.14920939984275355,0.7690229626294462,0.24992683640620428,0.42004820225271755
