capacity,selected_n,true_positive,precision,recall_capture,lift
0.05,996,268,0.26907630522088355,0.12066636650157586,2.411631216446154
0.1,1991,491,0.2466097438473129,0.22107158937415577,2.2102717519246333
0.2,3982,855,0.2147162230035158,0.384961728950923,1.9244219428671705
0.3,5972,1109,0.18569993302076357,0.49932462854570014,1.6643596878484106
0.4,7963,1370,0.17204571141529573,0.6168392615938766,1.541981959222367
