model,mean_pr_auc,sd_pr_auc,mean_roc_auc,sd_roc_auc,mean_brier,mean_log_loss
prefix_catboost_strict_history,0.26155807872246994,0.00829447569581527,0.6940444354741393,0.005475051137057967,0.0941203110513978,0.32730431144943223
prefix_catboost_no_history,0.24800545626818699,0.00620527533259878,0.6830637292399719,0.004107890263576711,0.09496737695295288,0.3304122926697558
