model,roc_auc,pr_auc,brier,log_loss,threshold,accuracy,balanced_accuracy,precision,recall,f1,f2
focused_extra_ensemble,0.6776041326546394,0.242337251207581,0.09358419871759792,0.3271845834894433,0.08499999999999999,0.4849794031950166,0.6091651426096059,0.14920939984275355,0.7690229626294462,0.24992683640620428,0.42004820225271755
focused_prefix_regularized_depth5,0.674991601614985,0.2399062635150217,0.093711118104751,0.32773572241584503,0.0875,0.5018587360594795,0.6098064113379407,0.15089374829870247,0.7487618190004502,0.25117051804863316,0.4177342376287365
previous_final,0.6766141225001995,0.2377555931965945,0.09380887360707088,0.32781013706537243,0.0775,0.4266552798151311,0.5989786112641852,0.1420003115750117,0.8208014407924359,0.24211435022245834,0.41962066108093177
