roc_auc,pr_auc,brier,log_loss,threshold,accuracy,balanced_accuracy,precision,recall,specificity,f1,f2,tn,fp,fn,tp,feature_set,model,input_columns,fit_seconds,validation_f2
0.6616367118963776,0.2104163757145987,0.09518478909365287,0.33250363909502567,0.095,0.5114538330151713,0.6096946323022192,0.1517542231297568,0.7361548851868528,0.4832343794175855,0.25163524432474027,0.4158612269813816,8546,9139,586,1635,Raw,HistGradientBoosting,41,0.7485889170202427,0.4214596114519427
0.6618182112120955,0.20913283933856275,0.0952058665105112,0.3324100583902024,0.0875,0.4796543755651562,0.604396591153124,0.14729085392284352,0.764970733903647,0.4438224484026011,0.24701948240767665,0.4160340859003869,7849,9836,522,1699,Engineered,HistGradientBoosting,66,1.0975415830034763,0.41916534083955453
0.6638352366065968,0.20750523842809165,0.09525407537930815,0.3324210566049849,0.08,0.4297196825077866,0.5983410214040115,0.14200580255626127,0.8153984691580369,0.3812835736499859,0.24188593562174435,0.4184960946526783,6743,10942,410,1811,Cleaned,HistGradientBoosting,43,0.8728503330494277,0.4236259608160435
0.6518858654702834,0.19881854261386633,0.09596231041483319,0.3353458823054127,0.0925,0.5185371244850798,0.6093503335231324,0.15232788743035225,0.7262494371904548,0.49245122985581,0.25183450429352067,0.4141632003286602,8709,8976,608,1613,Raw,Logistic Regression,41,1.3382765419664793,0.4156487077279156
0.6488614030337551,0.1936942178183562,0.09610353320627191,0.33575271081674485,0.08,0.4199236411132322,0.5859380801934703,0.13790961329398976,0.7996398018910401,0.3722363584959005,0.23524736737532287,0.4080507306313758,6583,11102,445,1776,Engineered,Logistic Regression,66,1.988907625025604,0.4155156537753223
0.6466524782014332,0.18982905662935243,0.09632175184291154,0.33662264619595805,0.08249999999999999,0.4077665025620416,0.5855922156677267,0.13719096010920673,0.814497973885637,0.35668645744981625,0.2348283247874343,0.40983235160851833,6308,11377,412,1809,Cleaned,Logistic Regression,43,1.2025497499853373,0.41238284578244816
