fold,n,positive_rate,roc_auc,pr_auc,brier
1,19867,0.1139074847737454,0.6633886159324052,0.21544250087167915,0.0967333618664504
2,19867,0.11385715004781799,0.6706320872290572,0.21578519927103698,0.09653542120721358
3,19871,0.1139348799758442,0.666541096728915,0.20867999584162047,0.09702922061978765
4,19868,0.11390175156029797,0.6655435106048263,0.22068565606276483,0.09650462455906669
5,19867,0.11385715004781799,0.664548831803922,0.22183603274445005,0.09642790834193271
