repeat,pr_focused_extra,roc_focused_extra,top5_precision_focused_extra,pr_strict_history,roc_strict_history,top5_precision_strict_history,pr_target_history_sensitivity,roc_target_history_sensitivity,top5_precision_target_history_sensitivity
1,0.24737200448956603,0.6793572447378049,0.34944612286002014,0.25988615588915576,0.6886237325896001,0.37361530715005037,0.2641988068165375,0.6891034382609725,0.3816717019133938
2,0.24214549610167177,0.6726470157716707,0.32659251769464104,0.25601868434891206,0.6831727878261646,0.3437815975733064,0.2646509331846324,0.6841140590878791,0.3569261880687563
3,0.23893527579891174,0.6775299981031842,0.3413897280966767,0.2562931588810566,0.6901233501140555,0.36555891238670696,0.2625926560252157,0.6892737011806704,0.3675730110775428
4,0.2514367922003973,0.6867880577686883,0.358087487283825,0.2691976408033909,0.6953307328474531,0.38657171922685657,0.2750708001304488,0.6948997049448713,0.3947100712105799
5,0.24478183780214263,0.6783344158775895,0.33098591549295775,0.2598942660064961,0.6880252904912596,0.3672032193158954,0.26250312457281944,0.6881212572699773,0.37525150905432597
6,0.2406475295529812,0.6710172632634799,0.3360323886639676,0.2601794631007848,0.6831818493127156,0.3694331983805668,0.2716413918945275,0.6836002110030761,0.3765182186234818
7,0.2567884139515991,0.6826086426833557,0.3685800604229607,0.2708598117200822,0.6947191963486882,0.3766364551863041,0.2725316654492539,0.694014365764793,0.3877139979859013
8,0.24717937506095444,0.6805986662705916,0.36016096579476864,0.27361933889255374,0.6957388811624888,0.40040241448692154,0.28229536546907674,0.6944866452992811,0.3953722334004024
9,0.2495840276189048,0.6870939698487476,0.3532934131736527,0.26145559957663245,0.6957187146765802,0.36826347305389223,0.26754532186790664,0.6946761434739935,0.3912175648702595
10,0.23991892512378296,0.6753526269571675,0.33668341708542715,0.26102256847900257,0.6883200410501904,0.3708542713567839,0.26666694229964333,0.6887364418583145,0.385929648241206
11,0.22994445017991927,0.675426207083896,0.32193158953722334,0.2522506598755059,0.688547175778515,0.36519114688128773,0.258324743428671,0.6882297163350868,0.37122736418511065
12,0.2408356928052794,0.6768069468741977,0.32284263959390863,0.2584535851155731,0.6897268413265968,0.3583756345177665,0.26781028240308535,0.6904011496960345,0.3715736040609137
13,0.2440201964973615,0.6820119277528371,0.34163346613545814,0.2605075884259161,0.6916547898862851,0.3665338645418327,0.26255608118808604,0.6912649150178828,0.3655378486055777
14,0.23728986457494836,0.6681914286854941,0.3396414342629482,0.25679391070155366,0.6823540911884055,0.3745019920318725,0.2629339745254402,0.6826805715520374,0.3754980079681275
15,0.24646027563455558,0.684852069859324,0.35418768920282545,0.2601764613769665,0.697745220269775,0.3612512613521695,0.26353292265608,0.6972199683941845,0.37436932391523714
16,0.23924874918078587,0.6839288368948502,0.333,0.26126823330073523,0.6944796176147237,0.356,0.2631088172034967,0.6942436772335587,0.366
17,0.22865531824766328,0.6628881086601048,0.33433734939759036,0.2499075751223616,0.675368513492798,0.3614457831325301,0.25583898115492104,0.6750740810591788,0.36646586345381527
18,0.25041431260309177,0.6807835125790365,0.3534136546184739,0.2671871441569346,0.692682959880437,0.37650602409638556,0.26831133465677814,0.6918504058543454,0.36646586345381527
19,0.24358895732967714,0.6775288310374499,0.3226452905811623,0.2597950869474174,0.6861511386346693,0.343687374749499,0.26874445793588514,0.6876818706676326,0.35771543086172347
20,0.2486802604664939,0.6726977583937358,0.3290386521308226,0.2618333492748829,0.6836712056659915,0.3647175421209118,0.2703777679631598,0.6840266468465724,0.37561942517343905
21,0.23148844031700033,0.6710219860786338,0.3282980866062437,0.2523291018758407,0.6833680341261057,0.3605236656596173,0.26299283786718547,0.683288356632778,0.3776435045317221
22,0.24427352654104123,0.672086704038304,0.3491422805247225,0.2617655910417461,0.6861496225014874,0.37436932391523714,0.27030721670519675,0.6847603502875449,0.39455095862764883
23,0.23997026026730217,0.6806478596343191,0.34782608695652173,0.2567754683884065,0.6932346640453821,0.3774703557312253,0.26034383378371867,0.691577097161854,0.3794466403162055
24,0.2427623089769675,0.6789877406281012,0.33867735470941884,0.25733642660021167,0.6876402874098155,0.3527054108216433,0.2571454280641708,0.6866938698008647,0.36472945891783565
25,0.2578807181648664,0.681096145841142,0.3440643863179074,0.2705119635015278,0.6914303133209287,0.3873239436619718,0.2697778119511763,0.6905249617208851,0.386317907444668
26,0.23051479526634963,0.6740700561985823,0.3248987854251012,0.2447599640762887,0.6865105453247076,0.3410931174089069,0.24970115822362043,0.6848680891410417,0.3451417004048583
27,0.23338485009139512,0.671540313005011,0.31895687061183553,0.24610707958814487,0.6812624731400745,0.3329989969909729,0.2518888899260287,0.681545309915622,0.3600802407221665
28,0.2300381785412287,0.6754391511525488,0.3165829145728643,0.24505472502482262,0.6852047168527071,0.33467336683417087,0.25216221200414884,0.6858131491505699,0.3457286432160804
29,0.2486328212568207,0.6728610677771679,0.3631889763779528,0.2697060875982777,0.6874025466434079,0.3868110236220472,0.27772467917249744,0.687458964796513,0.39665354330708663
30,0.246704305452262,0.6757148231686783,0.3555114200595829,0.2683771553454487,0.6894043644222082,0.3833167825223436,0.27491134814720386,0.6889651491125384,0.3932472691161867
31,0.23262690286993204,0.6722762129210254,0.3191919191919192,0.2504146296421161,0.6824271692616355,0.3525252525252525,0.26462685464966806,0.6837312801900335,0.37272727272727274
32,0.24268571583280554,0.6745630231229804,0.34565434565434566,0.26051117842656746,0.6877134139445445,0.37462537462537465,0.26773410132660036,0.6868108714747774,0.3806193806193806
33,0.2295488701441804,0.6762411000163651,0.33872598584428715,0.2452660295228306,0.6867101462770333,0.35490394337714865,0.24902280080836797,0.6858717322821268,0.35995955510616784
34,0.24910019252831872,0.6718972845135309,0.3646353646353646,0.26552759583406027,0.6820430144435936,0.3956043956043956,0.26789751768442677,0.6808531570867054,0.38961038961038963
35,0.2435367694222088,0.6758057114814527,0.34804413239719156,0.25506012353578894,0.681009411738504,0.3781344032096289,0.2534472600627304,0.6805330421811703,0.3831494483450351
36,0.24950345315729602,0.6769236889266437,0.35750251762336355,0.26527313226579763,0.687679004748954,0.3776435045317221,0.2699671386625091,0.6873627267284386,0.39375629405840884
37,0.23223876736897645,0.6664027614641728,0.324974924774323,0.2531299387509762,0.6807275441609747,0.35707121364092276,0.26168921504325193,0.6807989044599463,0.36710130391173523
38,0.2290213891737849,0.6759356299355485,0.3175403225806452,0.2496419153491221,0.6893092317413629,0.3558467741935484,0.2577731472932314,0.6899155324887523,0.36189516129032256
39,0.24767037175870626,0.6843134117563798,0.3410696266397578,0.2625640653250124,0.6950897412119241,0.36427850655903127,0.2677717075784616,0.6952556772232141,0.3703329969727548
40,0.24594582847332724,0.675576935476325,0.3587939698492462,0.2637076518754133,0.6891081627349525,0.3708542713567839,0.27275307463713167,0.6893942052181461,0.38994974874371857
41,0.240176450768659,0.6749311790833454,0.3360242179616549,0.263552579238973,0.6883616279661396,0.3773965691220989,0.2688419225230739,0.687991214911907,0.38042381432896066
42,0.24457173735627166,0.6903855849879994,0.32831325301204817,0.2644119092599674,0.7020297124713653,0.3704819277108434,0.2687075009164789,0.7019908847048404,0.3785140562248996
43,0.23900596015548742,0.679617425623507,0.3333333333333333,0.2509496926711316,0.6876187026886107,0.3546747967479675,0.2568032194490811,0.6887402907832981,0.3648373983739837
44,0.2390178862085351,0.6816829709564998,0.32016210739615,0.2619093692334375,0.6944708179570779,0.3617021276595745,0.2645586996251073,0.6927871590573502,0.3637284701114488
45,0.2315776230735374,0.6718436863910529,0.322,0.25699744963233606,0.6864958137517112,0.36,0.26141089886811564,0.6866141121194675,0.369
46,0.24790430340359879,0.68227642666823,0.34665334665334663,0.2666262648997227,0.6949895420698773,0.37462537462537465,0.2675956201458896,0.6937087838020634,0.37462537462537465
47,0.2490495257508763,0.6788272419750864,0.3465045592705167,0.2723430098925845,0.692220037879751,0.3850050658561297,0.2801319038534432,0.6928907885517042,0.4093211752786221
48,0.23564601813872915,0.6640615460598175,0.32732732732732733,0.2549009923049618,0.6794511256533728,0.3533533533533533,0.2637035266270596,0.6793574388734285,0.37537537537537535
49,0.2482150018833824,0.6813913386165557,0.33467336683417087,0.2623493333605985,0.6920996475011115,0.3658291457286432,0.2652124055331346,0.6916066354345876,0.37286432160804023
50,0.24372297981503716,0.6758921209724691,0.33901705115346037,0.2588525035418542,0.6857020795773877,0.35606820461384153,0.2637291329329781,0.6853558448643098,0.3791374122367101
51,0.23177368534748263,0.6741256416467051,0.3409316154608523,0.24511295320085014,0.6855942662782731,0.34886025768087214,0.2541981862746686,0.6858261153235432,0.35678889990089196
52,0.2313119814259767,0.6751948937219145,0.3157894736842105,0.24686216906193031,0.6882700800922732,0.33805668016194335,0.24938743423467521,0.6872975964115431,0.354251012145749
53,0.23753104013126275,0.6796946616379232,0.32696177062374243,0.26031892796330425,0.6951946286143367,0.3631790744466801,0.27038727200984825,0.6951302729870368,0.386317907444668
54,0.22804318341650476,0.675362133880854,0.3276553106212425,0.2483681921247569,0.6875798387315549,0.37074148296593185,0.2500631555552264,0.6871828612795514,0.3687374749498998
55,0.245400237823157,0.6752727792252785,0.3393213572854291,0.2599851200895553,0.6848484342797605,0.36127744510978044,0.25530486046459794,0.6839839725334793,0.3602794411177645
56,0.2431479651326736,0.6713922135464316,0.3183183183183183,0.26185969287010985,0.6816871085411436,0.35435435435435436,0.2697019358990052,0.6813488196761658,0.36736736736736736
57,0.23034404686667026,0.6723000921036403,0.3220338983050847,0.2543789750308191,0.6841141033297244,0.35194416749750745,0.2574067497929129,0.683663932394953,0.3629112662013958
58,0.24413024137506892,0.6793222867538089,0.34,0.2629321663524721,0.6926876703411841,0.374,0.26701237723253923,0.6911981872901832,0.387
59,0.23630148296614215,0.6813648326558068,0.31987891019172554,0.25320056966608745,0.6918272129567644,0.3440968718466196,0.25965025213237486,0.6925629905599052,0.35721493440968716
60,0.24855232435771424,0.6788979979565415,0.3509471585244267,0.2704669211372076,0.6942412671420497,0.382851445663011,0.27938281854666114,0.693314842921489,0.3918245264207378
61,0.2417275355026527,0.674487056430225,0.33867735470941884,0.25552205904482006,0.6848531573507896,0.3657314629258517,0.2572998446658488,0.6840271292968618,0.3687374749498998
62,0.24827907043201586,0.6836311763440818,0.34791454730417093,0.26426502099124444,0.6944586218077091,0.37843336724313326,0.2689971085025864,0.6944603580798145,0.38453713123092575
63,0.26495576860756337,0.6910600238417124,0.36730575176589303,0.2837739386539341,0.7021181466428774,0.39455095862764883,0.2910420590945501,0.7027800548557157,0.4167507568113017
64,0.2535333014472532,0.6836577649972058,0.35685483870967744,0.2691831374710581,0.6942430407647546,0.3719758064516129,0.2764228963219742,0.6933779708978474,0.3840725806451613
65,0.24037717626402777,0.6799707455888933,0.3453815261044177,0.25939617375562324,0.6903006260485933,0.3674698795180723,0.2650170770121399,0.6900938574652505,0.3795180722891566
66,0.2322582170571875,0.6659190322850844,0.32741617357001973,0.24763127337022206,0.6759316493950362,0.35502958579881655,0.25391460804934524,0.676375264006225,0.38362919132149903
