model,brier,brier_skill_vs_prevalence,ece_10_quantile,calibration_intercept,calibration_slope
非历史增强集成,0.09358419871759792,0.05590237964618816,0.004480698791661492,0.029836785214362827,1.0336268987403385
严格历史主模型,0.09252831665032389,0.06655434611860311,0.004781016832187001,0.05282091847759359,1.048131421116003
目标历史敏感性,0.09230763098304945,0.06878067082058315,0.005235132589202638,-0.002575437125309459,1.0189371438609918
