model,roc_auc,pr_auc,brier,log_loss,threshold,accuracy,balanced_accuracy,precision,recall,f2
focused_extra_ensemble,0.6776041326546394,0.242337251207581,0.09358419871759792,0.3271845834894433,0.08499999999999999,0.4849794031950166,0.6091651426096059,0.14920939984275355,0.7690229626294462,0.42004820225271755
strict_history_ensemble_full,0.6894721868019777,0.2606744534524253,0.09252831665032389,0.32351074953779413,0.08,0.4785994172611273,0.6124643235713485,0.14969082789419444,0.7847816298964431,0.4245420888542479
strict_history_no_gap_ensemble,0.6887952241417258,0.2594348300256234,0.09261120717678216,0.3237829322103783,0.08,0.4727720285341103,0.6127280309513744,0.14928789420142421,0.7928860873480414,0.42577369439071566
